model	split	seed	auroc	auprc	balanced_accuracy
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1328	0.7777777777777778	0.7669588840771107	0.6904761904761905
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1329	0.8613636363636363	0.8015300111152515	0.7704545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1330	0.875	0.8811624833879046	0.8365384615384616
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1301	0.45	0.5726190476190476	0.325
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1302	0.6764705882352942	0.9606307212890713	0.35294117647058826
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1303	0.6285714285714286	0.7296460402342756	0.45
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1304	0.16666666666666663	0.16666666666666666	0.08333333333333333
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1305	0.7222222222222223	0.8968253968253969	0.4166666666666667
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1306	0.7857142857142857	0.9123376623376622	0.6785714285714286
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1307	0.7981904012588513	0.7451235466986026	0.768882769472856
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1308	0.7	0.9451515151515152	0.4
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1309	0.875	0.9704861111111112	0.8125
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1310	0.16666666666666663	0.22619047619047616	0.3333333333333333
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1311	0.3	0.5381944444444444	0.375
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1312	0.7925925925925926	0.714296715703352	0.6507936507936507
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1313	0.7666666666666666	0.9351301476301476	0.5666666666666667
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1314	1.0	1.0	0.7666666666666666
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	1315	0.875	0.9837863270308124	0.84375
