PC1	PC2	age_group	disease	dataset_id
-1.9550492	2.509339	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3705049	1.9620644	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.8121243	5.2580204	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.2376974	0.9776306	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.010981	3.53866	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.8626194	-0.93518734	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.7873814	0.21352004	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.603443	3.7727027	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.0695777	4.6327195	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.946487	-1.2830127	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.2826486	-1.9965875	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.5783246	4.4312167	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.4259983	3.0808878	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1765618	4.4794602	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.8285365	2.8748064	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.8411052	0.83357024	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.8134459	0.5145433	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.8577068	3.9943752	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.930485	2.092734	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.32500026	0.3803823	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.0349536	3.4502733	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.278829	-1.3915118	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.64415866	-1.3243612	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.0793924	0.34179357	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.501424	5.670775	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.7094475	3.715332	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.6551628	3.3698738	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9858291	0.1854665	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.9107938	3.398791	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.12112	-1.660707	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.153985	1.9567125	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.8470385	0.5502129	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.0176654	-2.158843	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.0935345	0.67451984	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.8279695	1.035865	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.561061	4.121711	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.0610359	2.0924907	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.092718	-0.39753658	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.1315815	4.3998523	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.20454948	0.327339	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3847542	3.6193957	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.6010423	2.977349	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.640257	-1.6619525	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.144579	2.3542411	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.767889	3.827559	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
0.5789735	3.0347886	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.764073	1.5808167	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.3101581	5.0431957	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.3207302	3.4386458	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9692649	-3.1064541	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.39423355	0.76772434	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.27397	-1.6124742	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.8484907	-0.9305305	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
2.2463844	-2.175322	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.67956334	-2.3069258	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.0128465	-1.9739515	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3353755	-1.7545636	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.50784487	1.3718799	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.5500405	3.2699602	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.17253415	1.0006486	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.0624394	0.7033201	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9792651	3.5836208	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.4431453	1.5404598	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.909273	3.6903331	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.7832508	2.6917253	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
